,Tanggal,Keterangan,Harga
3417,18/01/2016,BUYBACK,Rp 486.000
3418,18/01/2016,GOLD,Rp 505.000
3419,15/01/2016,BUYBACK,Rp 480.000
3420,15/01/2016,GOLD,Rp 503.000
3421,14/01/2016,BUYBACK,Rp 486.000
3422,14/01/2016,GOLD,Rp 506.000
3423,13/01/2016,BUYBACK,Rp 485.000
3424,13/01/2016,GOLD,Rp 505.000
3425,12/01/2016,BUYBACK,Rp 490.000
3426,12/01/2016,GOLD,Rp 507.000
3427,11/01/2016,BUYBACK,Rp 492.000
3428,11/01/2016,GOLD,Rp 508.000
3429,08/01/2016,BUYBACK,Rp 486.000
3430,08/01/2016,GOLD,Rp 507.000
3431,07/01/2016,BUYBACK,Rp 486.000
3432,07/01/2016,GOLD,Rp 507.000
3433,06/01/2016,BUYBACK,Rp 481.000
3434,06/01/2016,GOLD,Rp 506.000
3435,05/01/2016,BUYBACK,Rp 479.000
3436,05/01/2016,GOLD,Rp 506.000
3437,04/01/2016,BUYBACK,Rp 471.000
3438,04/01/2016,GOLD,Rp 505.000
3439,31/12/2015,BUYBACK,Rp 470.000
3440,31/12/2015,GOLD,Rp 505.000
3441,30/12/2015,BUYBACK,Rp 469.000
3442,30/12/2015,GOLD,Rp 505.000
3443,29/12/2015,BUYBACK,Rp 468.000
3444,29/12/2015,GOLD,Rp 505.000
3445,28/12/2015,BUYBACK,Rp 470.000
3446,28/12/2015,GOLD,Rp 505.000
3447,23/12/2015,BUYBACK,Rp 469.000
3448,23/12/2015,GOLD,Rp 505.000
3449,22/12/2015,BUYBACK,Rp 479.000
3450,22/12/2015,GOLD,Rp 507.000
3451,21/12/2015,BUYBACK,Rp 479.000
3452,21/12/2015,GOLD,Rp 507.000
3453,18/12/2015,BUYBACK,Rp 473.000
3454,18/12/2015,GOLD,Rp 506.000
3455,17/12/2015,BUYBACK,Rp 478.000
3456,17/12/2015,GOLD,Rp 507.000
3457,16/12/2015,BUYBACK,Rp 478.000
3458,16/12/2015,GOLD,Rp 507.000
3459,15/12/2015,BUYBACK,Rp 479.000
3460,15/12/2015,GOLD,Rp 507.000
3461,14/12/2015,BUYBACK,Rp 480.000
3462,14/12/2015,GOLD,Rp 508.000
3463,11/12/2015,BUYBACK,Rp 479.000
3464,11/12/2015,GOLD,Rp 508.000
3465,10/12/2015,BUYBACK,Rp 476.000
3466,10/12/2015,GOLD,Rp 507.000
3467,08/12/2015,BUYBACK,Rp 476.000
3468,08/12/2015,GOLD,Rp 507.000
3469,07/12/2015,BUYBACK,Rp 481.000
3470,07/12/2015,GOLD,Rp 508.000
3471,04/12/2015,BUYBACK,Rp 473.000
3472,04/12/2015,GOLD,Rp 507.000
3473,03/12/2015,BUYBACK,Rp 466.000
3474,03/12/2015,GOLD,Rp 506.000
3475,02/12/2015,BUYBACK,Rp 474.000
3476,02/12/2015,GOLD,Rp 507.000
3477,01/12/2015,BUYBACK,Rp 473.000
3478,01/12/2015,GOLD,Rp 507.000
3479,30/11/2015,BUYBACK,Rp 466.000
3480,30/11/2015,GOLD,Rp 507.000
3481,27/11/2015,BUYBACK,Rp 473.000
3482,27/11/2015,GOLD,Rp 508.000
3483,26/11/2015,BUYBACK,Rp 470.000
3484,26/11/2015,GOLD,Rp 507.000
3485,25/11/2015,BUYBACK,Rp 474.000
3486,25/11/2015,GOLD,Rp 508.000
3487,24/11/2015,BUYBACK,Rp 472.000
3488,24/11/2015,GOLD,Rp 508.000
3489,23/11/2015,BUYBACK,Rp 475.000
3490,23/11/2015,GOLD,Rp 509.000
3491,20/11/2015,BUYBACK,Rp 479.000
3492,20/11/2015,GOLD,Rp 509.000
3493,19/11/2015,BUYBACK,Rp 473.000
3494,19/11/2015,GOLD,Rp 509.000
3495,18/11/2015,BUYBACK,Rp 471.000
3496,18/11/2015,GOLD,Rp 509.000
3497,17/11/2015,BUYBACK,Rp 477.000
3498,17/11/2015,GOLD,Rp 509.000
3499,16/11/2015,BUYBACK,Rp 472.000
3500,16/11/2015,GOLD,Rp 509.000
3501,13/11/2015,BUYBACK,Rp 472.000
3502,13/11/2015,GOLD,Rp 509.000
3503,12/11/2015,BUYBACK,Rp 473.000
3504,12/11/2015,GOLD,Rp 510.000
3505,11/11/2015,BUYBACK,Rp 475.000
3506,11/11/2015,GOLD,Rp 510.000
3507,10/11/2015,BUYBACK,Rp 479.000
3508,10/11/2015,GOLD,Rp 510.000
3509,09/11/2015,BUYBACK,Rp 474.000
3510,09/11/2015,GOLD,Rp 510.000
3511,06/11/2015,BUYBACK,Rp 482.000
3512,06/11/2015,GOLD,Rp 510.000
3513,05/11/2015,BUYBACK,Rp 482.000
3514,05/11/2015,GOLD,Rp 510.000
3515,04/11/2015,BUYBACK,Rp 487.000
3516,04/11/2015,GOLD,Rp 510.000
3517,03/11/2015,BUYBACK,Rp 495.000
3518,03/11/2015,GOLD,Rp 511.000
3519,02/11/2015,BUYBACK,Rp 498.000
3520,02/11/2015,GOLD,Rp 512.000
3521,30/10/2015,BUYBACK,Rp 498.000
3522,30/10/2015,GOLD,Rp 512.000
3523,29/10/2015,BUYBACK,Rp 502.000
3524,29/10/2015,GOLD,Rp 518.000
3525,28/10/2015,BUYBACK,Rp 504.000
3526,28/10/2015,GOLD,Rp 519.000
3527,27/10/2015,BUYBACK,Rp 503.000
3528,27/10/2015,GOLD,Rp 519.000
3529,26/10/2015,BUYBACK,Rp 502.000
3530,26/10/2015,GOLD,Rp 518.000
3531,23/10/2015,BUYBACK,Rp 504.000
3532,23/10/2015,GOLD,Rp 520.000
3533,22/10/2015,BUYBACK,Rp 506.000
3534,22/10/2015,GOLD,Rp 523.000
3535,21/10/2015,BUYBACK,Rp 507.000
3536,21/10/2015,GOLD,Rp 525.000
3537,20/10/2015,BUYBACK,Rp 505.000
3538,20/10/2015,GOLD,Rp 523.000
3539,19/10/2015,BUYBACK,Rp 504.000
3540,19/10/2015,GOLD,Rp 526.000
3541,16/10/2015,BUYBACK,Rp 500.000
3542,16/10/2015,GOLD,Rp 523.000
3543,15/10/2015,BUYBACK,Rp 510.000
3544,15/10/2015,GOLD,Rp 528.000
3545,13/10/2015,BUYBACK,Rp 499.000
3546,13/10/2015,GOLD,Rp 517.000
3547,12/10/2015,BUYBACK,Rp 499.000
3548,12/10/2015,GOLD,Rp 516.000
3549,09/10/2015,BUYBACK,Rp 500.000
3550,09/10/2015,GOLD,Rp 527.000
3551,08/10/2015,BUYBACK,Rp 506.000
3552,08/10/2015,GOLD,Rp 532.000
3553,07/10/2015,BUYBACK,Rp 510.000
