,Tanggal,Keterangan,Harga
1177,08/06/2020,GOLD,Rp 876.000
1178,06/06/2020,BUYBACK,Rp 762.000
1179,06/06/2020,GOLD,Rp 876.000
1180,05/06/2020,BUYBACK,Rp 778.000
1181,05/06/2020,GOLD,Rp 888.000
1182,04/06/2020,BUYBACK,Rp 776.000
1183,04/06/2020,GOLD,Rp 887.000
1184,03/06/2020,BUYBACK,Rp 801.000
1185,03/06/2020,GOLD,Rp 904.000
1186,02/06/2020,BUYBACK,Rp 823.000
1187,02/06/2020,GOLD,Rp 920.000
1188,30/05/2020,BUYBACK,Rp 815.000
1189,30/05/2020,GOLD,Rp 914.000
1190,29/05/2020,BUYBACK,Rp 813.000
1191,29/05/2020,GOLD,Rp 913.000
1192,28/05/2020,BUYBACK,Rp 808.000
1193,28/05/2020,GOLD,Rp 908.000
1194,27/05/2020,BUYBACK,Rp 808.000
1195,27/05/2020,GOLD,Rp 909.000
1196,26/05/2020,BUYBACK,Rp 816.000
1197,26/05/2020,GOLD,Rp 917.000
1198,22/05/2020,BUYBACK,Rp 815.000
1199,22/05/2020,GOLD,Rp 916.000
1200,20/05/2020,BUYBACK,Rp 824.000
1201,20/05/2020,GOLD,Rp 926.000
1202,19/05/2020,BUYBACK,Rp 822.000
1203,19/05/2020,GOLD,Rp 924.000
1204,18/05/2020,BUYBACK,Rp 831.000
1205,18/05/2020,GOLD,Rp 934.000
1206,16/05/2020,BUYBACK,Rp 825.000
1207,16/05/2020,GOLD,Rp 919.000
1208,15/05/2020,BUYBACK,Rp 823.000
1209,15/05/2020,GOLD,Rp 917.000
1210,14/05/2020,BUYBACK,Rp 815.000
1211,14/05/2020,GOLD,Rp 910.000
1212,13/05/2020,BUYBACK,Rp 812.000
1213,13/05/2020,GOLD,Rp 908.000
1214,12/05/2020,BUYBACK,Rp 806.000
1215,12/05/2020,GOLD,Rp 903.000
1216,11/05/2020,BUYBACK,Rp 812.000
1217,11/05/2020,GOLD,Rp 911.000
1218,09/05/2020,BUYBACK,Rp 812.000
